"Enabled","Ativado"
"Title","Título"
"Environment","Ambiente"
"SSL File","Arquivo SSL"
"New Order Status","Status de Novos Pedidos"
"Max Installments","Núm. máximo de parcelas"
"Min Installment Value","Valor mínimo de parcelas"
"Installment Type","Tipo de parcelamento"
"Cielo Merchant Number","Núm. Cielo"
"Cielo Merchant Key","Chave Cielo"
"Installments Without Interest","Parcelas sem juros"
"Installment Interest (%)","Juros do pedido (%)"
"Auto Capture","Capturar Automaticamente"
"Card Types","Bandeiras de Cartões"
"Installments","Parcelas"
"Interest","Juros"
